Branch
% PTDF From ,% PTDF To ,From Number,To Number
0.00,-0.00,10369,10794
0.07,-0.07,10369,10893
0.00,-0.00,10369,10917
0.00,-0.00,10369,11037
0.00,-0.00,10414,10459
0.08,-0.08,10735,10414
-0.02,0.02,10414,10836
-0.18,0.18,10414,10838
0.00,-0.00,10427,10429
-0.00,0.00,10427,10459
0.09,-0.09,10427,10728
0.00,-0.00,10427,10729
0.00,-0.00,10432,10462
0.00,-0.00,10432,10462
0.17,-0.17,10432,10701
-0.07,0.07,10432,10735
-0.01,0.01,10432,10836
-0.07,0.07,10432,10966
-0.02,0.02,10459,10462
0.28,-0.28,10468,10459
0.00,-0.00,10459,10697
0.00,-0.00,10459,10708
0.09,-0.09,10459,10728
0.00,-0.00,10459,10729
0.09,-0.09,10459,10893
0.22,-0.23,10459,11075
0.38,-0.38,10462,10468
0.01,-0.01,10462,10708
0.01,-0.01,10462,10729
0.01,-0.01,10462,10802
0.01,-0.01,10462,10803
-0.02,0.02,10462,10836
-0.01,0.01,10462,10843
0.20,-0.20,10468,10708
0.08,-0.08,10534,10681
0.00,-0.00,10534,10906
-0.04,0.04,10534,10966
-0.00,0.00,10586,10588
-0.09,0.09,10586,10681
-0.00,0.00,10586,10809
0.09,-0.09,10586,10899
0.04,-0.04,10586,10942
-0.04,0.04,10586,10979
0.00,-0.00,10586,11062
1.22,-1.22,10661,10663
-0.00,0.00,10661,10664
-0.04,0.04,10661,10778
1.20,-1.20,10970,10661
0.02,-0.02,10661,74240
0.27,-0.26,10793,10663
1.48,-1.50,10663,74234
-0.09,0.09,10681,10680
0.00,0.00,10680,10684
0.00,-0.00,10680,10685
-0.00,0.00,10680,10687
0.00,-0.00,10680,10688
4.00,-4.01,10680,10812
1.13,-1.13,10680,10905
5.20,-5.23,11000,10680
0.00,-0.00,10681,10689
0.00,-0.00,10681,10906
0.12,-0.12,10681,10915
-0.01,0.01,10681,10966
0.00,-0.00,10681,10979
0.01,-0.01,10691,10933
-0.03,0.03,10691,10983
0.03,-0.03,10691,13616
0.01,-0.01,10694,10843
-0.01,0.01,10694,10862
0.01,-0.01,10695,10843
-0.01,0.01,10695,10862
-0.00,0.00,10697,10699
0.00,-0.00,10697,10700
0.01,-0.01,10697,10701
-0.00,0.00,10697,10729
0.17,-0.17,10701,10718
0.01,-0.01,10701,10979
-0.04,0.04,10703,10933
0.04,-0.04,10703,11001
0.01,-0.01,10708,10707
0.00,-0.00,10707,10710
-0.00,0.00,10707,10711
-0.00,0.00,10707,10712
-0.00,0.00,10707,10713
-0.00,0.00,10707,10715
0.01,-0.01,10707,10716
0.10,-0.10,10718,10708
-0.01,0.01,10708,10729
-0.01,0.01,10708,10802
-0.01,0.01,10708,10803
-0.00,0.00,10708,10867
-0.35,0.35,11075,10708
-0.53,0.53,10716,10717
-0.79,0.78,10716,10734
1.32,-1.33,10716,11011
-0.01,0.01,10718,10717
-0.00,0.00,10717,10723
-0.00,0.00,10717,10724
0.00,-0.00,10717,10725
-0.00,0.00,10717,10726
-0.66,0.65,10717,10861
-0.03,0.03,10717,10892
1.13,-1.13,10905,10717
1.28,-1.29,10717,11074
0.02,-0.02,10718,10899
-0.01,0.01,10718,10979
0.08,-0.08,10718,11047
0.02,-0.02,10729,10728
0.16,-0.17,10728,10748
-0.09,0.09,10769,10728
-0.00,0.00,10729,10802
-0.00,0.00,10729,10803
0.01,-0.01,10729,10873
-0.00,0.00,10729,10925
-0.01,0.01,10730,10731
-0.00,0.00,10731,10836
0.00,-0.00,10731,10987
-0.00,0.00,10731,11008
-0.00,0.00,10731,11009
0.17,-0.17,10735,10734
0.18,-0.18,10735,10734
0.18,-0.18,10735,10734
-0.00,0.00,10734,10737
-0.00,0.00,10734,10738
-0.25,0.25,10734,10861
-0.31,0.30,10735,10836
-0.08,0.08,10735,10838
0.54,-0.54,10740,10739
0.00,-0.00,10739,10742
-0.00,0.00,10739,10744
-0.54,0.54,13666,10739
1.92,-1.93,10813,10740
-1.66,1.66,10862,10740
-0.25,0.25,10740,10934
-0.02,0.02,10740,13302
0.01,-0.01,10746,10906
-0.03,0.03,10748,10747
0.00,-0.00,10747,10750
-0.00,0.00,10747,10752
0.00,0.00,10747,10754
-0.00,0.00,10747,10755
-0.52,0.52,10747,10916
-0.80,0.80,11011,10747
-0.31,0.31,10747,11074
-0.00,0.00,10748,10873
0.20,-0.20,10748,11075
0.03,-0.03,10757,10756
1.30,-1.30,10862,10756
-1.34,1.34,10928,10756
0.02,-0.01,10757,10836
0.04,-0.04,10757,10857
0.07,-0.07,10757,10928
-0.15,0.15,10757,11035
-0.04,0.04,10757,11070
-0.04,0.04,10769,10758
0.07,-0.07,10758,10917
0.00,-0.00,10758,10917
-0.00,0.00,10758,11037
-0.11,0.11,10760,10762
0.00,-0.00,10760,10763
0.00,0.00,10760,10764
0.00,-0.00,10760,10765
0.01,-0.01,10760,11048
0.01,-0.01,10760,13229
0.11,-0.11,10760,13302
0.01,-0.01,10760,13492
0.03,-0.03,10760,13593
-1.55,1.55,13302,10762
0.09,-0.09,13340,10762
-2.37,2.42,10762,13621
0.80,-0.80,10762,13667
0.00,0.00,10766,10768
-0.02,0.02,10766,10942
0.57,-0.57,10766,11056
-0.03,0.03,10766,13431
0.50,-0.51,13438,10766
0.00,-0.00,10769,10771
0.00,-0.00,10769,10772
0.00,-0.00,10769,10774
-0.15,0.15,10917,10769
-0.02,0.02,10769,11037
-0.00,0.00,10776,10785
0.00,-0.00,10776,10794
-0.00,0.00,10778,10789
-0.01,0.01,10778,10870
-0.08,0.09,10778,10875
-0.01,0.01,10778,10961
-0.01,0.01,10778,11054
-0.01,0.01,10778,74207
0.04,-0.04,10778,74240
0.06,-0.07,10778,77253
0.00,-0.00,10782,11035
0.00,-0.00,10783,11035
0.01,-0.01,10785,10784
-0.01,0.01,10784,10786
-0.00,0.00,10784,10787
0.02,-0.02,10784,10788
0.00,-0.00,10785,10794
0.00,-0.00,10785,10887
0.01,-0.01,10785,10893
-0.00,0.00,10785,10923
0.00,-0.00,10785,11027
0.01,-0.01,10785,11037
-0.01,0.01,10786,11034
-0.02,0.02,10893,10788
-0.00,0.00,10789,10791
-0.00,0.00,10789,10792
0.02,-0.02,10789,10793
-0.05,0.05,10789,11054
0.01,-0.01,10789,74207
0.03,-0.03,10789,74240
0.25,-0.25,10825,10793
-0.00,0.00,10794,10797
0.01,-0.01,10794,10799
0.00,-0.00,10794,10893
0.00,-0.00,10798,10893
-0.05,0.05,10893,10799
-0.36,0.35,10800,10933
-0.01,0.01,10800,10933
-0.00,0.00,10800,10957
0.19,-0.18,10800,13396
0.10,-0.10,10800,13458
-0.26,0.26,10800,13516
0.04,-0.04,10800,13530
0.01,-0.01,10800,13574
0.04,-0.03,10800,13621
0.17,-0.17,10800,13634
0.05,-0.05,10800,13661
0.03,-0.03,10800,13662
0.00,-0.00,10806,10917
0.00,-0.00,10807,10917
-1.41,1.41,10809,10808
0.00,-0.00,10808,10811
-1.41,1.40,10808,10812
-0.06,0.06,10809,10906
0.18,-0.18,10809,10942
1.23,-1.23,10809,10974
0.01,-0.01,10809,10974
0.02,-0.02,10809,11062
0.07,-0.07,10809,13431
0.04,-0.04,10809,13464
-0.04,0.04,10809,13471
2.60,-2.60,10812,13470
-0.38,0.38,10813,10953
-0.02,0.02,10813,13302
-0.00,0.00,10813,13324
-0.13,0.13,10817,10819
0.13,-0.13,10817,11054
0.10,-0.10,10819,11026
0.23,-0.23,11039,10819
0.38,-0.38,10824,10825
0.00,-0.00,10824,10829
-0.00,0.00,10824,10830
0.00,-0.00,10824,10831
-0.00,0.00,10824,10832
0.00,-0.00,10824,10833
0.00,-0.00,10824,10834
-0.38,0.38,10824,10835
0.44,-0.44,10961,10825
0.09,-0.09,10825,74214
0.34,-0.34,10825,74217
0.11,-0.11,10825,77253
0.05,-0.05,10825,77272
8.20,-8.21,10885,10835
-7.82,7.83,13594,10835
0.03,-0.03,10836,10838
-0.26,0.26,10836,10843
-0.01,0.01,10836,10857
-0.03,0.03,10836,10862
-0.01,0.01,10836,10928
-0.01,0.01,10836,10998
-0.22,0.22,10843,10842
-0.22,0.22,10842,10862
0.01,-0.01,10843,10857
-0.05,0.05,10843,10862
0.01,-0.01,10843,10998
-0.43,0.43,10845,10844
0.00,-0.00,10844,10847
-0.00,0.00,10844,10848
0.00,-0.00,10844,10849
0.00,-0.00,10844,10850
0.00,-0.00,10844,10851
-0.00,0.00,10844,10852
-0.43,0.43,10844,10855
0.44,-0.44,10845,10854
-0.02,0.02,10845,10974
-0.07,0.07,10845,11062
0.02,-0.02,10845,13431
0.09,-0.09,10845,13464
-1.11,1.11,10942,10854
-0.67,0.66,10854,10974
7.26,-7.27,10855,10941
7.66,-7.68,13470,10855
0.83,-0.84,10857,10856
0.00,-0.00,10856,10860
0.83,-0.84,10856,10861
-0.02,0.02,10857,10862
-1.43,1.44,10857,10928
0.07,-0.07,10986,10861
0.00,0.00,10862,10864
0.00,-0.00,10862,10865
0.00,-0.00,10869,11054
0.00,-0.00,10870,10872
0.41,-0.41,10970,10870
-0.03,0.03,10870,11054
0.31,-0.31,10870,74207
0.06,-0.06,10870,74240
0.06,-0.06,10870,77253
0.02,-0.02,10873,11075
-0.67,0.67,10874,10875
-0.00,0.00,10874,10879
-0.00,0.00,10874,10880
-0.00,0.00,10874,10881
-0.00,0.00,10874,10884
0.67,-0.67,10874,10885
0.00,-0.00,10874,10886
1.14,-1.14,10942,10875
0.24,-0.24,10875,10961
0.04,-0.04,10875,11052
0.04,-0.04,10875,11053
0.07,-0.07,10875,13481
-7.53,7.53,10885,10941
-0.00,0.00,10887,10889
0.00,-0.00,10887,10891
-0.00,0.00,10887,10923
0.00,-0.00,10887,11037
-0.00,0.00,11034,10891
0.11,-0.11,10893,10892
0.10,-0.10,10893,10892
0.11,-0.11,10893,10892
-0.00,0.00,10892,10895
0.00,-0.00,10892,10896
-0.00,0.00,10892,10897
0.00,-0.00,10892,10898
0.29,-0.29,10892,10916
0.01,-0.01,10899,11012
-0.18,0.18,11026,10899
-0.07,0.07,10899,11047
0.00,-0.00,10901,11047
0.02,-0.02,10904,10933
-0.02,0.02,10904,11067
-0.00,0.00,10906,10905
0.00,0.00,10905,10908
-0.00,0.00,10905,10910
-0.00,0.00,10905,10912
0.00,-0.00,10905,10914
-0.10,0.10,10906,10915
0.04,-0.04,10906,10942
0.03,-0.03,10906,11062
0.02,-0.02,10915,10979
0.23,-0.23,10917,10916
-0.00,0.00,10916,10919
-0.00,0.00,10916,10921
0.01,-0.01,10923,11027
0.00,0.00,10928,10930
0.00,-0.00,10928,10931
0.00,-0.00,10928,10932
-0.05,0.05,10928,11035
0.05,-0.05,10933,10957
-0.17,0.18,10933,10983
0.11,-0.11,10933,11001
-0.07,0.08,10933,11067
0.32,-0.30,10933,13302
0.29,-0.28,10933,13324
0.11,-0.11,10933,13340
0.27,-0.26,10933,13396
0.06,-0.06,10933,13458
-0.00,0.00,10933,13468
-0.04,0.04,10933,13484
0.16,-0.14,10933,13492
-2.39,2.39,10933,13497
-0.03,0.03,10933,13516
0.07,-0.07,10933,13530
-0.00,0.00,10933,13570
0.14,-0.14,10933,13574
0.02,-0.02,10933,13590
0.15,-0.14,10933,13593
0.03,-0.03,10933,13616
0.34,-0.33,10933,13621
0.25,-0.26,10933,13634
-0.02,0.02,10934,10953
-0.02,0.02,10934,11048
-0.01,0.01,10934,13156
-0.01,0.01,10934,13180
-0.08,0.08,10934,13302
-0.02,0.02,10934,13667
0.25,-0.25,10942,10941
0.00,-0.00,10941,10944
0.00,-0.00,10941,10945
-0.00,0.00,10941,10946
0.00,-0.00,10941,10947
-0.00,0.00,10941,10949
-0.03,0.03,10942,10974
-0.09,0.09,10942,11062
0.11,-0.11,10942,13431
0.01,-0.01,10942,13464
-0.03,0.03,10942,13471
0.00,-0.00,10953,10955
0.00,-0.00,10953,11035
-0.49,0.49,10953,11048
-0.02,0.02,10953,11048
0.17,-0.17,10953,11070
-0.00,0.00,10953,13156
-0.03,0.03,10953,13302
0.00,-0.00,10957,10959
-0.32,0.32,10957,10960
0.14,-0.13,10957,13302
0.02,-0.02,10957,13458
0.06,-0.06,10957,13492
0.05,-0.05,10957,13574
0.11,-0.11,10957,13634
-2.77,2.78,10960,11067
-3.86,3.86,10960,13516
6.30,-6.19,10960,13667
0.02,-0.02,10961,11052
0.02,-0.02,10961,11053
-0.49,0.50,10961,11056
0.10,-0.10,10961,13481
0.15,-0.14,10961,13687
0.01,-0.01,10966,10979
-0.13,0.13,10966,11067
3.41,-3.42,11012,10970
-0.22,0.21,10970,11054
2.03,-2.06,10970,74234
0.00,-0.00,10972,11054
0.00,-0.00,10973,11054
0.00,0.00,10974,10978
-0.02,0.02,10974,11062
-3.55,3.54,11066,10974
0.05,-0.05,10974,13464
-3.01,3.00,10974,13507
0.00,0.00,10979,10981
0.00,-0.00,10979,10982
0.02,-0.02,10979,11047
0.00,0.00,10983,10985
-3.41,3.41,11067,10983
0.04,-0.04,10983,11067
0.03,-0.03,10983,13458
0.01,-0.01,10983,13468
-3.83,3.81,10983,13505
0.02,-0.02,10983,13570
0.03,-0.03,10983,13574
0.08,-0.08,10983,13616
0.07,-0.07,10987,10986
-0.00,0.00,10986,10989
-0.00,0.00,10986,10990
-0.00,0.00,10986,10991
0.00,-0.00,10995,11039
20.98,-20.99,11001,11000
-0.00,0.00,11000,11005
-0.00,0.00,11000,11006
8.90,-8.95,11000,13470
8.16,-8.15,11000,13631
-1.27,1.27,11000,13666
-2.96,2.97,11001,13484
-0.39,0.39,11001,13497
21.09,-21.08,13505,11001
-2.29,2.29,11012,11011
0.00,0.00,11011,11014
0.00,0.00,11011,11016
0.00,0.00,11011,11018
0.00,0.00,11011,11019
-0.00,0.00,11011,11020
-0.00,0.00,11011,11021
-0.00,0.00,11011,11023
0.00,-0.00,11011,11025
0.58,-0.58,11011,11038
-0.74,0.74,11011,11074
-1.33,1.33,11012,11026
-0.02,0.02,11012,11047
0.24,-0.24,11012,11054
-1.05,1.04,11026,11075
0.00,-0.00,11027,11031
0.00,0.00,11027,11032
-0.00,0.00,11027,11033
0.01,-0.01,11027,11034
-0.02,0.02,11035,11048
-0.08,0.08,11035,11070
-0.01,0.01,11035,13156
-0.01,0.01,11035,13180
-0.03,0.03,11035,13302
-0.01,0.01,11035,13462
-0.00,0.00,11035,13512
-0.00,0.00,11035,13646
-0.58,0.58,11039,11038
-0.00,0.00,11038,11045
-0.00,0.00,11038,11046
0.18,-0.18,11039,74234
-0.00,0.00,11039,74265
0.08,-0.08,11039,74266
0.10,-0.10,11039,77185
0.00,-0.00,11048,11050
0.63,-0.63,13180,11048
0.01,-0.01,11048,13229
0.01,-0.01,11048,13264
-0.23,0.23,11048,13302
-0.04,0.04,11048,13302
0.01,-0.01,11048,13324
-0.01,0.01,11048,13340
0.01,-0.01,11048,13462
0.00,-0.00,11048,13492
0.01,-0.01,11048,13512
0.02,-0.02,11048,13572
0.38,-0.38,11048,13648
0.00,-0.00,11048,13667
0.06,-0.06,11052,13481
0.06,-0.06,11053,13481
0.03,-0.03,11054,74207
0.04,-0.04,11054,74240
0.00,-0.00,11056,11060
0.00,-0.00,11056,11061
0.08,-0.08,11056,74214
0.03,-0.04,11062,13431
0.07,-0.07,11062,13464
-0.10,0.10,11062,13471
-0.00,0.00,11062,13614
-0.08,0.08,11062,13675
0.00,-0.00,11063,11065
0.34,-0.34,11063,11066
-0.12,0.12,11063,13537
-0.02,0.02,11063,13551
-0.02,0.02,11063,13552
-0.02,0.02,11063,13614
-0.14,0.14,11063,13675
-3.89,3.88,13464,11066
0.00,0.00,11067,11069
0.07,-0.07,11067,13458
0.03,-0.03,11067,13468
0.04,-0.04,11067,13570
0.09,-0.09,11067,13574
0.21,-0.21,11067,13616
0.00,-0.00,11070,11072
0.00,-0.00,11070,11073
-0.03,0.03,13648,11070
-0.02,0.02,13689,11070
-0.25,0.25,11075,11074
-0.00,0.00,11074,11077
0.00,-0.00,11074,11079
-0.00,0.00,11074,11080
-0.00,0.00,11074,11082
-0.19,0.19,13076,13009
-0.54,0.54,13009,13572
0.14,-0.14,13009,13600
0.40,-0.39,13009,20005
-5.11,5.12,13171,13058
-3.64,3.69,13058,13548
-0.53,0.53,13058,13549
-0.05,0.05,13058,13632
-0.58,0.58,13058,20005
-0.04,0.04,13058,20432
-0.00,0.00,13076,13513
-0.37,0.36,13562,13076
-0.07,0.07,13076,13563
-1.36,1.36,13086,13136
-0.05,0.05,13086,13492
0.46,-0.46,13086,13563
-0.26,0.26,13571,13086
0.04,-0.04,13086,13572
0.73,-0.73,13086,13650
-0.64,0.65,13136,13174
-0.58,0.59,13136,13264
-0.03,0.03,13136,13302
-0.12,0.12,13136,13492
0.04,-0.04,13136,13572
0.05,-0.05,13136,13593
-0.10,0.10,13156,13160
0.00,0.00,13156,13161
0.00,-0.00,13156,13302
0.00,-0.00,13156,13324
0.01,-0.01,13156,13462
0.00,-0.00,13156,13492
0.02,-0.02,13156,13512
0.07,-0.07,13156,13572
-0.10,0.10,13160,13180
0.16,-0.16,13171,13460
-0.07,0.07,13171,13549
-0.32,0.32,13171,13632
-0.08,0.08,13171,13655
5.59,-5.62,13171,20415
0.25,-0.25,13171,20416
-0.11,0.11,13171,20432
-0.28,0.28,13174,13233
-0.27,0.27,13174,13264
-0.02,0.02,13174,13492
0.01,-0.01,13180,13462
0.01,-0.01,13180,13512
0.21,-0.21,13229,13233
-0.11,0.11,13229,13302
-0.04,0.04,13229,13492
-0.07,0.07,13233,13264
0.89,-0.89,13264,13263
0.89,-0.89,13264,13263
0.89,-0.89,13264,13263
0.49,-0.49,13649,13263
3.16,-3.17,13263,13666
-3.07,3.07,13264,13302
0.46,-0.46,13324,13264
-0.01,0.01,13264,13492
0.02,-0.02,13264,13593
0.12,-0.12,13302,13324
-0.05,0.05,13302,13340
0.01,-0.01,13302,13462
-0.06,0.06,13302,13484
0.02,-0.02,13302,13492
0.01,-0.01,13302,13512
0.03,-0.03,13302,13572
0.13,-0.13,13302,13593
-0.11,0.11,13302,13621
0.13,-0.13,13302,13667
0.01,-0.01,13302,13667
-0.03,0.03,13324,13492
0.11,-0.11,13324,13593
-0.00,0.00,13340,13342
0.02,-0.02,13340,13492
2.09,-2.09,13396,13398
-0.27,0.27,13396,13516
-0.31,0.32,13396,13574
-0.64,0.66,13396,13634
2.09,-2.10,13398,13524
0.23,-0.23,13431,13438
0.27,-0.27,13643,13438
-0.08,0.08,13447,13544
-0.19,0.19,13447,13687
3.26,-3.24,13447,74218
0.08,-0.08,13447,74218
0.05,-0.05,13447,74228
-6.25,6.36,13447,74250
0.07,-0.07,13447,74307
-3.09,3.09,74330,13447
0.12,-0.12,13453,13454
-0.12,0.12,13453,13457
0.09,-0.08,13454,13513
0.01,-0.01,13454,13533
0.01,-0.01,13454,13534
0.03,-0.03,13454,13563
-0.00,0.00,13454,13665
-1.13,1.12,13524,13457
-1.24,1.23,13457,13650
-0.02,0.02,13458,13468
-0.05,0.05,13458,13484
0.02,-0.02,13458,13530
-0.02,0.02,13458,13570
0.13,-0.13,13458,13574
0.00,-0.00,13458,13590
0.02,-0.02,13458,13616
0.03,-0.03,13458,13621
0.09,-0.08,13458,13634
0.09,-0.09,13458,13675
0.42,-0.42,13460,13459
-0.00,0.00,13459,13461
1.09,-1.10,13459,13555
5.56,-5.51,13459,20291
6.21,-6.23,20415,13459
-0.78,0.77,13460,13632
-0.17,0.17,13460,13655
0.23,-0.23,13460,20291
0.20,-0.20,13460,20353
-0.03,0.03,13460,20416
0.29,-0.29,13460,20475
-0.02,0.02,13462,13512
0.02,-0.02,13462,13572
0.03,-0.03,13462,13646
0.02,-0.02,13462,13689
0.00,-0.00,13464,13466
4.16,-4.16,13464,13643
-0.00,0.00,13468,13570
0.03,-0.03,13468,13574
0.77,-0.77,13471,13470
0.00,-0.00,13470,13475
0.00,-0.00,13470,13476
0.00,-0.00,13470,13477
0.00,-0.00,13470,13479
0.00,0.00,13470,13480
1.90,-1.90,13470,13506
-2.75,2.75,13695,13470
-0.90,0.90,13471,13537
-0.02,0.02,13471,13675
4.10,-4.08,13643,13481
0.70,-0.68,13481,13687
3.68,-3.68,13481,74250
-0.00,0.00,13484,13486
0.00,0.00,13484,13487
-8.45,8.43,13484,13505
-0.01,0.01,13484,13516
0.10,-0.10,13484,13574
5.08,-5.09,13484,13619
0.15,-0.15,13484,13634
-0.00,0.00,13488,13490
-0.36,0.36,13488,13491
0.03,-0.03,13488,13650
0.34,-0.35,13488,13663
-4.55,4.57,13491,13592
-4.19,4.20,13650,13491
0.00,-0.00,13492,13493
0.03,-0.03,13492,13572
0.12,-0.12,13492,13593
-0.05,0.05,13492,13621
40.26,-40.28,13497,13496
0.00,0.00,13496,13499
0.00,0.00,13496,13501
0.00,0.00,13496,13502
0.00,0.00,13496,13503
0.00,-0.00,13496,13504
24.00,-23.86,13496,13523
-3.41,3.41,13631,13496
12.87,-12.91,13496,13695
56.96,-57.07,13497,13505
-10.27,10.24,13516,13505
13.50,-13.43,13505,13621
1.21,-1.21,13507,13506
0.00,0.00,13506,13509
0.00,-0.00,13506,13510
0.00,-0.00,13506,13511
-3.11,3.12,13695,13506
4.47,-4.46,13537,13507
0.27,-0.27,13507,13573
0.00,-0.00,13507,13614
0.03,-0.03,13512,13572
0.01,-0.01,13512,13646
-0.02,0.02,13513,13533
-0.02,0.02,13513,13534
-0.08,0.08,13513,13563
0.26,-0.26,13513,13581
-0.19,0.19,13515,13634
0.20,-0.20,13515,13682
0.00,-0.00,13516,13518
0.00,-0.00,13516,13519
0.00,-0.00,13516,13520
0.00,-0.00,13516,13521
0.09,-0.09,13516,13530
0.04,-0.04,13516,13574
5.43,-5.45,13516,13619
0.28,-0.29,13516,13634
-1.31,1.31,13522,13555
0.33,-0.33,13522,20323
0.27,-0.27,13522,20475
0.36,-0.36,13522,20494
0.54,-0.52,13522,20526
3.64,-3.65,13524,13523
0.00,-0.00,13523,13526
-0.00,0.00,13523,13527
25.87,-25.45,13523,13554
25.87,-25.45,13523,13554
0.52,-0.52,13523,13580
12.22,-12.12,13681,13523
-12.64,12.76,13523,13695
-0.40,0.40,13524,13663
-0.04,0.04,13530,13574
0.25,-0.25,13530,13634
0.00,-0.00,13533,13563
0.00,-0.00,13534,13563
0.00,-0.00,13537,13539
0.00,0.00,13537,13540
0.00,-0.00,13537,13541
0.00,-0.00,13537,13542
0.00,-0.00,13537,13551
0.00,-0.00,13537,13614
5.38,-5.41,13675,13537
-0.06,0.06,13537,13675
0.31,-0.31,13543,13544
-0.31,0.31,13543,13547
-0.03,0.03,13544,13595
0.11,-0.11,13544,74046
0.13,-0.13,13544,74072
-0.10,0.11,13544,74214
0.16,-0.16,13544,74218
0.10,-0.09,13544,74228
-0.12,0.12,13544,74250
4.56,-4.54,13595,13547
-0.86,0.87,13547,74250
5.10,-4.99,13547,74330
-0.46,0.46,13549,13548
-4.15,4.28,13548,13588
0.10,-0.10,13549,13632
0.00,-0.00,13551,13614
-0.02,0.02,13551,13696
0.00,-0.00,13552,13614
-0.02,0.02,13552,13696
-0.20,0.19,13555,13554
0.00,-0.00,13554,13560
0.00,0.00,13554,13561
-16.60,16.68,20321,13554
-16.60,16.68,20321,13554
17.35,-17.20,13554,20387
-0.80,0.80,13562,13563
-0.00,0.00,13562,13566
-0.00,0.00,13562,13567
4.61,-4.63,13562,13588
3.46,-3.45,13650,13562
0.35,-0.36,13563,13581
-0.35,0.35,13563,13650
0.03,-0.03,13570,13574
-0.26,0.26,13572,13571
0.09,-0.09,13572,13650
-0.00,-0.00,13573,13606
-0.13,0.13,13573,13614
0.20,-0.20,13573,13637
0.05,-0.05,13573,74214
0.19,-0.19,13573,74250
-0.02,0.02,13574,13590
-0.02,0.02,13574,13616
0.03,-0.03,13574,13621
0.25,-0.25,13574,13634
0.01,-0.01,13574,13661
0.08,-0.08,13574,13675
-0.05,0.05,13581,13580
-0.05,0.05,13581,13580
-0.00,0.00,13580,13583
0.00,-0.00,13580,13584
-0.00,0.00,13580,13585
-0.00,0.00,13580,13587
-28.27,28.50,13580,13631
28.69,-28.17,13580,20321
0.00,-0.00,13581,13586
0.80,-0.79,13581,13588
0.05,-0.05,13581,13600
1.15,-1.14,13588,13656
0.71,-0.71,13593,13592
-3.86,3.89,13592,13667
-0.06,0.06,13593,13621
-7.81,7.82,13595,13594
0.00,-0.00,13594,13598
0.00,-0.00,13594,13599
3.23,-3.22,13595,74250
0.05,-0.05,13600,13602
0.38,-0.37,13600,13633
0.60,-0.58,13600,13655
-0.84,0.84,13600,13656
0.01,-0.01,13600,13680
0.01,-0.01,13602,13633
0.05,-0.05,13602,13655
-0.06,0.06,13612,13633
0.06,-0.06,13612,13655
-0.30,0.30,13614,13675
0.19,-0.18,13614,13687
-0.01,0.01,13614,13696
0.00,0.00,13616,13618
0.35,-0.35,13616,13619
10.90,-10.98,13619,13675
-11.23,11.22,13620,13621
0.00,-0.00,13620,13626
-0.00,0.00,13620,13627
